funcao,valorEmpenhado
Administração,0.0006455747518195312
Agricultura,0.03581604113154043
Assistência social,0.01692862019783214
Comércio e serviços,0.009067061121060831
Cultura,0.021760946690545995
Defesa nacional,0.2201848713194616
Educação,0.504901681349935
Organização agrária,0.012542603468092486
Relações exteriores,0.006034694960679938
Saúde,0.11804116727553222
Trabalho,0.018084140974397925
Transporte,0.01788024453073196
Urbanismo,0.018112352228369995
